frame	causes	focus_syncs	invalidated	resolved_computed	resolved_reused	measured_computed	draw_nodes	interactions	focus_regions	resolve_ms	measure_ms	place_ms	semantics_ms	draw_ms	raster_ms	commit_ms	pipeline_ms	desired_generation	render_generation	layout_input_generation	layout_output_generation	raster_input_generation	raster_output_generation	coalesced_event_batches	coalesced_wake_causes	coalesced_intent_requests	scheduled_animation_request	scheduled_animation_batch	animation_controller_active_animations	animation_controller_pending_work	worker_layout_enqueue_ms	worker_layout_compute_ms	worker_raster_enqueue_ms	worker_raster_compute_ms	worker_completion_to_commit_ms	main_actor_blocked_ms	main_actor_suspended_ms	custom_layout_fallbacks	first_custom_layout_fallback	layout_dependent_realizations	layout_dependent_cache_hits	layout_dependent_main_actor_fallbacks	geometry_anchor_resolution_misses	first_geometry_anchor_resolution_miss	geometry_missing_named_coordinate_spaces	first_geometry_missing_named_coordinate_space	geometry_duplicate_named_coordinate_spaces	first_geometry_duplicate_named_coordinate_space	runtime_pointer_handlers	runtime_pointer_hover_handlers	runtime_gesture_recognizers	runtime_gesture_state_bindings	runtime_issue_count	runtime_issues	stale_frame_policy	tail_job_state	tail_cancel_reason	cancelled_render_count	newest_desired_at_tail_start	newest_desired_at_tail_result	drop_blockers	drop_decision	drop_generation	newest_desired_at_drop	drop_reconciliation_mode	drop_reconciliation_effects	presentation_recovery_after_drop	input_events_during_render_suspension	present_strategy	present_ms	present_bytes	present_lines	present_cells	damage_rows	damage_range_rows	damage_spans	damage_cells	damage_graphics	damage_full_text	damage_full_graphics	present_sync	present_graphics_scope	present_graphics_attachments	present_edit_op	present_edit_ops	cache_hit	total_ms
1	invalidation	0	1	562/377	0/377	989/377	377	34	24	28.39	8.46	1.98	0.91	0.37	1.66	3.85	45.65	1	1	1	1	1	1	0	invalidation	1	inherit	-	0	0	0.05	10.45	0.01	3.01	0.06	32.25	13.77	0	-	0	0	0	0	-	0	-	0	-	40	0	0	0	0	-	commit_ordered	completed	-	0	1	1	animationTransition+diagnosticsFullRecord+handlerInstallations+taskStart	commit_ordered	-	-	-	-	0	24	full	0.94	13308	46	6854	full	-	-	-	-	0	0	1	none	0	none	0	28.4%	46.60
2	input+invalidation	0	2	588/377	0/377	989/377	377	34	24	14.80	6.62	2.59	0.91	0.39	1.46	3.84	30.63	2	2	2	2	2	2	23	input+invalidation	26	animate	1	2	1	0.01	9.22	0.01	4.08	0.03	18.64	13.54	0	-	0	0	0	0	-	0	-	0	-	40	0	0	0	0	-	commit_ordered	completed	-	0	2	2	animationCompletion+animationTransaction+animationTransition+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.01	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	28.4%	30.64
3	deadline	0	0	0/377	0/377	0/377	377	34	24	0.00	0.14	0.69	1.11	0.54	1.61	4.01	8.13	3	3	3	3	3	3	0	deadline	1	inherit	-	2	1	0.01	0.84	0.00	4.35	0.02	4.01	5.45	0	-	0	0	0	0	-	0	-	0	-	40	0	0	0	0	-	commit_ordered	completed	-	0	3	3	animationCompletion+animationTransition+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.01	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	28.4%	8.14
4	deadline	0	0	0/377	0/377	0/377	377	34	24	0.00	0.15	0.65	0.95	0.37	1.31	4.03	7.49	4	4	4	4	4	4	0	deadline	1	inherit	-	2	1	0.01	0.81	0.00	3.71	0.02	4.03	4.78	0	-	0	0	0	0	-	0	-	0	-	40	0	0	0	0	-	commit_ordered	completed	-	0	4	4	animationCompletion+animationTransition+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.01	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	28.4%	7.50
5	deadline	0	0	0/377	0/377	0/377	377	34	24	0.00	0.14	0.60	0.90	0.34	1.24	3.49	6.73	5	5	5	5	5	5	0	deadline	1	inherit	-	2	1	0.01	0.75	0.00	3.49	0.02	3.49	4.48	0	-	0	0	0	0	-	0	-	0	-	40	0	0	0	0	-	commit_ordered	completed	-	0	5	5	animationCompletion+animationTransition+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.01	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	28.4%	6.74
6	deadline	0	0	0/377	0/377	27/377	377	34	24	0.00	4.00	2.61	0.92	0.35	1.30	3.49	12.70	6	6	6	6	6	6	0	deadline	1	inherit	-	2	1	0.01	6.62	0.00	3.59	0.02	3.49	10.46	0	-	0	0	0	0	-	0	-	0	-	40	0	0	0	0	-	commit_ordered	completed	-	0	6	6	animationCompletion+animationTransition+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.01	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	30.9%	12.71
7	deadline	0	0	0/377	0/377	0/377	377	34	24	0.00	0.15	0.68	0.96	0.38	1.36	3.57	7.13	7	7	7	7	7	7	0	deadline	1	inherit	-	2	1	0.01	0.84	0.01	3.80	0.02	3.57	4.92	0	-	0	0	0	0	-	0	-	0	-	40	0	0	0	0	-	commit_ordered	completed	-	0	7	7	animationCompletion+animationTransition+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.00	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	30.9%	7.14
8	deadline	0	0	0/377	0/377	27/377	377	34	24	0.00	4.64	3.10	1.05	0.39	1.42	3.62	14.24	8	8	8	8	8	8	0	deadline	1	inherit	-	2	1	0.01	7.75	0.00	3.99	0.01	3.62	12.02	0	-	0	0	0	0	-	0	-	0	-	40	0	0	0	0	-	commit_ordered	completed	-	0	8	8	animationCompletion+animationTransition+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.00	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	33.2%	14.25
9	deadline	0	0	0/377	0/377	27/377	377	34	24	0.00	4.24	2.87	1.05	0.38	1.31	3.70	13.58	9	9	9	9	9	9	0	deadline	1	inherit	-	2	1	0.01	7.12	0.00	3.88	0.02	3.70	11.28	0	-	0	0	0	0	-	0	-	0	-	40	0	0	0	0	-	commit_ordered	completed	-	0	9	9	animationCompletion+animationTransition+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.01	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	35.3%	13.59
10	deadline	0	0	0/377	0/377	27/377	377	34	24	0.00	4.31	2.76	0.93	0.36	1.29	3.57	13.23	10	10	10	10	10	10	0	deadline	1	inherit	-	2	1	0.01	7.07	0.01	3.66	0.01	3.57	11.04	0	-	0	0	0	0	-	0	-	0	-	40	0	0	0	0	-	commit_ordered	completed	-	0	10	10	animationCompletion+animationTransition+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.00	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	37.3%	13.24
11	deadline	0	0	0/377	0/377	27/377	377	34	24	0.00	4.44	2.89	0.97	0.36	1.35	3.49	13.52	11	11	11	11	11	11	0	deadline	1	inherit	-	2	1	0.01	7.34	0.00	3.80	0.01	3.49	11.41	0	-	0	0	0	0	-	0	-	0	-	40	0	0	0	0	-	commit_ordered	completed	-	0	11	11	animationCompletion+animationTransition+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.00	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	39.0%	13.53
12	deadline	0	0	0/377	0/377	27/377	377	34	24	0.00	4.35	2.93	1.03	0.36	1.31	3.54	13.54	12	12	12	12	12	12	0	deadline	1	inherit	-	2	1	0.01	7.28	0.00	3.82	0.01	3.54	11.38	0	-	0	0	0	0	-	0	-	0	-	40	0	0	0	0	-	commit_ordered	completed	-	0	12	12	animationCompletion+animationTransition+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.00	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	40.7%	13.55
13	deadline	0	0	0/377	0/377	27/377	377	34	24	0.00	4.39	2.97	1.01	0.36	1.31	3.63	13.69	13	13	13	13	13	13	0	deadline	1	inherit	-	2	1	0.01	7.36	0.00	3.78	0.01	3.63	11.41	0	-	0	0	0	0	-	0	-	0	-	40	0	0	0	0	-	commit_ordered	completed	-	0	13	13	animationCompletion+animationTransition+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.00	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	42.2%	13.70
