frame	causes	focus_syncs	invalidated	resolved_computed	resolved_reused	measured_computed	draw_nodes	interactions	focus_regions	resolve_ms	measure_ms	place_ms	semantics_ms	draw_ms	raster_ms	commit_ms	pipeline_ms	desired_generation	render_generation	layout_input_generation	layout_output_generation	raster_input_generation	raster_output_generation	coalesced_event_batches	coalesced_wake_causes	coalesced_intent_requests	scheduled_animation_request	scheduled_animation_batch	animation_controller_active_animations	animation_controller_pending_work	worker_layout_enqueue_ms	worker_layout_compute_ms	worker_raster_enqueue_ms	worker_raster_compute_ms	worker_completion_to_commit_ms	main_actor_blocked_ms	main_actor_suspended_ms	custom_layout_fallbacks	first_custom_layout_fallback	layout_dependent_realizations	layout_dependent_cache_hits	layout_dependent_main_actor_fallbacks	geometry_anchor_resolution_misses	first_geometry_anchor_resolution_miss	geometry_missing_named_coordinate_spaces	first_geometry_missing_named_coordinate_space	geometry_duplicate_named_coordinate_spaces	first_geometry_duplicate_named_coordinate_space	runtime_pointer_handlers	runtime_pointer_hover_handlers	runtime_gesture_recognizers	runtime_gesture_state_bindings	runtime_issue_count	runtime_issues	stale_frame_policy	tail_job_state	tail_cancel_reason	cancelled_render_count	newest_desired_at_tail_start	newest_desired_at_tail_result	drop_blockers	drop_decision	drop_generation	newest_desired_at_drop	drop_reconciliation_mode	drop_reconciliation_effects	presentation_recovery_after_drop	input_events_during_render_suspension	present_strategy	present_ms	present_bytes	present_lines	present_cells	damage_rows	damage_range_rows	damage_spans	damage_cells	damage_graphics	damage_full_text	damage_full_graphics	present_sync	present_graphics_scope	present_graphics_attachments	present_edit_op	present_edit_ops	cache_hit	total_ms
1	invalidation	0	1	506/306	0/306	707/306	306	18	7	23.34	3.71	1.64	0.68	0.24	1.68	2.82	34.14	1	1	1	1	1	1	0	invalidation	1	inherit	-	0	0	0.02	5.35	0.01	2.71	0.03	26.17	8.30	0	-	0	0	0	0	-	0	-	0	-	48	0	0	0	0	-	commit_ordered	completed	-	0	1	1	diagnosticsFullRecord+handlerInstallations+lifecycleAppear+taskStart	commit_ordered	-	-	-	-	0	0	full	0.95	15699	46	6854	full	-	-	-	-	0	0	1	none	0	none	0	31.4%	35.09
2	invalidation	0	1	722/306	0/306	707/306	306	18	7	13.30	4.59	2.07	0.64	0.21	1.44	2.88	25.16	2	2	2	2	2	2	0	invalidation	1	animate	-	1	1	0.01	6.66	0.00	3.42	0.01	16.19	10.29	0	-	0	0	0	0	-	0	-	0	-	48	0	0	0	0	-	commit_ordered	completed	-	0	2	2	animationTransaction+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	-	-	0	0	incremental	0.01	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	31.4%	25.17
3	invalidation	0	1	506/306	0/306	0/306	306	18	7	11.41	0.70	4.50	0.69	0.22	1.30	3.17	22.04	3	3	3	3	3	3	0	invalidation	2	animate	1	1	1	0.01	5.21	0.00	3.45	0.01	14.58	8.89	0	-	0	0	0	0	-	0	-	0	-	48	0	0	0	0	-	commit_ordered	completed	-	0	3	3	animationTransaction+diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	-	-	0	0	incremental	0.08	1822	5	70	5	5	8	70	0	0	0	0	none	0	none	0	31.6%	22.12
4	deadline	0	0	506/306	0/306	0/306	306	18	7	9.14	0.72	1.08	0.71	0.23	1.50	3.57	16.98	4	4	4	4	4	4	0	deadline	1	inherit	-	1	1	0.01	1.81	0.00	3.53	0.02	12.71	5.56	0	-	0	0	0	0	-	0	-	0	-	48	0	0	0	0	-	commit_ordered	completed	-	0	4	4	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	-	-	0	0	incremental	0.08	1821	5	70	5	5	8	70	0	0	0	0	none	0	none	0	31.6%	17.06
5	deadline	0	0	0/306	0/306	0/306	306	18	7	0.00	0.11	0.51	0.74	0.23	1.32	2.72	5.67	5	5	5	5	5	5	0	deadline	1	inherit	-	1	1	0.01	0.64	0.00	3.31	0.03	2.72	4.17	0	-	0	0	0	0	-	0	-	0	-	48	0	0	0	0	-	commit_ordered	completed	-	0	5	5	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.09	1823	5	70	5	5	8	70	0	0	0	0	none	0	none	0	31.6%	5.76
6	deadline	0	0	0/306	0/306	0/306	306	18	7	0.00	0.15	0.53	0.67	0.21	1.25	2.92	5.76	6	6	6	6	6	6	0	deadline	1	inherit	-	1	1	0.01	0.69	0.00	3.16	0.02	2.92	4.06	0	-	0	0	0	0	-	0	-	0	-	48	0	0	0	0	-	commit_ordered	completed	-	0	6	6	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.07	1822	5	70	5	5	8	70	0	0	0	0	none	0	none	0	31.6%	5.83
7	deadline	0	0	0/306	0/306	0/306	306	18	7	0.00	0.13	0.49	0.67	0.22	1.42	2.67	5.63	7	7	7	7	7	7	0	deadline	1	inherit	-	1	1	0.00	0.63	0.00	3.43	0.02	2.67	4.26	0	-	0	0	0	0	-	0	-	0	-	48	0	0	0	0	-	commit_ordered	completed	-	0	7	7	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.07	1822	5	70	5	5	8	70	0	0	0	0	none	0	none	0	31.6%	5.71
8	deadline	0	0	0/306	0/306	0/306	306	18	7	0.00	0.16	0.58	0.83	0.26	1.50	3.08	6.43	8	8	8	8	8	8	0	deadline	1	inherit	-	1	1	0.01	0.75	0.00	3.75	0.03	3.08	4.76	0	-	0	0	0	0	-	0	-	0	-	48	0	0	0	0	-	commit_ordered	completed	-	0	8	8	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.08	1822	5	70	5	5	8	70	0	0	0	0	none	0	none	0	31.6%	6.52
9	deadline	0	0	0/306	0/306	0/306	306	18	7	0.00	0.15	0.61	0.77	0.24	1.44	3.08	6.32	9	9	9	9	9	9	0	deadline	1	inherit	-	1	1	0.01	0.77	0.00	3.65	0.02	3.08	4.65	0	-	0	0	0	0	-	0	-	0	-	48	0	0	0	0	-	commit_ordered	completed	-	0	9	9	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.08	1822	5	70	5	5	8	70	0	0	0	0	none	0	none	0	31.6%	6.40
10	deadline	0	0	0/306	0/306	0/306	306	18	7	0.00	0.15	0.61	0.88	0.26	1.63	3.02	6.58	10	10	10	10	10	10	0	deadline	1	inherit	-	1	1	0.01	0.76	0.00	3.94	0.02	3.02	4.93	0	-	0	0	0	0	-	0	-	0	-	48	0	0	0	0	-	commit_ordered	completed	-	0	10	10	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.07	1822	5	70	5	5	8	70	0	0	0	0	none	0	none	0	31.6%	6.66
