frame	causes	focus_syncs	invalidated	resolved_computed	resolved_reused	measured_computed	draw_nodes	interactions	focus_regions	resolve_ms	measure_ms	place_ms	semantics_ms	draw_ms	raster_ms	commit_ms	pipeline_ms	desired_generation	render_generation	layout_input_generation	layout_output_generation	raster_input_generation	raster_output_generation	coalesced_event_batches	coalesced_wake_causes	coalesced_intent_requests	scheduled_animation_request	scheduled_animation_batch	animation_controller_active_animations	animation_controller_pending_work	worker_layout_enqueue_ms	worker_layout_compute_ms	worker_raster_enqueue_ms	worker_raster_compute_ms	worker_completion_to_commit_ms	main_actor_blocked_ms	main_actor_suspended_ms	custom_layout_fallbacks	first_custom_layout_fallback	layout_dependent_realizations	layout_dependent_cache_hits	layout_dependent_main_actor_fallbacks	geometry_anchor_resolution_misses	first_geometry_anchor_resolution_miss	geometry_missing_named_coordinate_spaces	first_geometry_missing_named_coordinate_space	geometry_duplicate_named_coordinate_spaces	first_geometry_duplicate_named_coordinate_space	runtime_pointer_handlers	runtime_pointer_hover_handlers	runtime_gesture_recognizers	runtime_gesture_state_bindings	runtime_issue_count	runtime_issues	stale_frame_policy	tail_job_state	tail_cancel_reason	cancelled_render_count	newest_desired_at_tail_start	newest_desired_at_tail_result	drop_blockers	drop_decision	drop_generation	newest_desired_at_drop	drop_reconciliation_mode	drop_reconciliation_effects	presentation_recovery_after_drop	input_events_during_render_suspension	present_strategy	present_ms	present_bytes	present_lines	present_cells	damage_rows	damage_range_rows	damage_spans	damage_cells	damage_graphics	damage_full_text	damage_full_graphics	present_sync	present_graphics_scope	present_graphics_attachments	present_edit_op	present_edit_ops	cache_hit	total_ms
1	invalidation	0	1	369/207	0/207	369/207	207	14	4	17.32	1.54	0.72	0.51	0.17	0.78	1.72	22.78	1	1	1	1	1	1	0	invalidation	1	inherit	-	0	0	0.03	2.26	0.01	1.52	0.03	19.04	3.99	0	-	0	0	0	0	-	0	-	0	-	37	0	0	0	0	-	commit_ordered	completed	-	0	1	1	diagnosticsFullRecord+handlerInstallations+taskStart	commit_ordered	-	-	-	-	0	0	full	0.47	2641	46	6854	full	-	-	-	-	0	0	1	none	0	none	0	11.0%	23.26
2	invalidation	0	1	403/207	0/207	369/207	207	14	4	8.74	1.90	0.82	0.45	0.17	0.68	1.79	14.58	2	2	2	2	2	2	0	invalidation	2	inherit	-	0	0	0.00	2.74	0.00	2.31	0.02	10.53	5.21	0	-	0	0	0	0	-	0	-	0	-	37	0	0	0	0	-	commit_ordered	completed	-	0	2	2	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.01	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	11.0%	14.59
3	invalidation	0	1	82/207	192/207	0/207	207	14	4	3.17	0.13	0.53	0.51	0.16	0.60	2.02	7.13	3	3	3	3	3	3	0	invalidation	1	inherit	-	0	0	0.01	0.66	0.00	2.29	0.02	5.19	3.12	0	-	0	0	0	0	-	0	-	0	-	37	0	0	0	0	-	commit_ordered	completed	-	0	3	3	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.01	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	11.2%	7.14
4	invalidation	0	1	76/207	196/207	0/207	207	14	4	3.51	0.11	0.49	0.54	0.18	0.64	2.01	7.51	4	4	4	4	4	4	0	invalidation	1	inherit	-	0	0	0.00	0.61	0.00	2.73	0.02	5.53	3.51	0	-	0	0	0	0	-	0	-	0	-	37	0	0	0	0	-	commit_ordered	completed	-	0	4	4	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.00	0	0	0	0	0	0	0	0	0	0	0	none	0	none	0	11.5%	7.52
5	invalidation	0	1	76/207	196/207	0/207	207	14	4	3.41	0.10	0.51	0.50	0.15	0.55	2.01	7.26	5	5	5	5	5	5	0	invalidation	1	inherit	-	0	0	0.01	0.62	0.00	2.25	0.01	5.42	3.04	0	-	0	0	0	0	-	0	-	0	-	37	0	0	0	0	-	commit_ordered	completed	-	0	5	5	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.03	32	1	1	1	1	1	1	0	0	0	0	none	0	none	0	11.7%	7.29
6	invalidation	0	1	76/207	196/207	0/207	207	14	4	3.44	0.10	0.51	0.50	0.16	0.65	2.03	7.43	6	6	6	6	6	6	0	invalidation	1	inherit	-	0	0	0.01	0.63	0.00	2.38	0.01	5.48	3.17	0	-	0	0	0	0	-	0	-	0	-	37	0	0	0	0	-	commit_ordered	completed	-	0	6	6	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.02	32	1	1	1	1	1	1	0	0	0	0	none	0	none	0	11.9%	7.45
7	invalidation	0	2	190/207	159/207	21/207	207	14	4	6.10	1.44	0.80	0.56	0.18	0.66	2.17	11.93	7	7	7	7	7	7	0	invalidation	2	inherit	-	0	0	0.01	2.25	0.01	2.56	0.02	8.27	4.98	0	-	0	0	0	0	-	0	-	0	-	37	0	0	0	0	-	commit_ordered	completed	-	0	7	7	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.02	87	1	3	1	1	2	3	0	0	0	0	none	0	none	0	14.7%	11.95
8	invalidation	0	1	76/207	196/207	0/207	207	14	4	3.77	0.19	0.73	0.57	0.17	0.65	2.19	8.29	8	8	8	8	8	8	0	invalidation	1	inherit	-	0	0	0.01	0.92	0.00	2.55	0.01	5.96	3.67	0	-	0	0	0	0	-	0	-	0	-	37	0	0	0	0	-	commit_ordered	completed	-	0	8	8	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.02	58	1	2	1	1	1	2	0	0	0	0	none	0	none	0	14.9%	8.32
9	invalidation	0	1	76/207	196/207	0/207	207	14	4	3.62	0.19	0.61	0.61	0.18	0.65	2.16	8.04	9	9	9	9	9	9	0	invalidation	1	inherit	-	0	0	0.01	0.80	0.00	2.54	0.02	5.79	3.53	0	-	0	0	0	0	-	0	-	0	-	37	0	0	0	0	-	commit_ordered	completed	-	0	9	9	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.02	83	1	3	1	1	1	3	0	0	0	0	none	0	none	0	15.1%	8.07
10	invalidation	0	1	76/207	196/207	0/207	207	14	4	3.77	0.19	0.70	0.54	0.17	0.75	2.41	8.57	10	10	10	10	10	10	0	invalidation	1	inherit	-	0	0	0.01	0.90	0.00	2.66	0.02	6.19	3.76	0	-	0	0	0	0	-	0	-	0	-	37	0	0	0	0	-	commit_ordered	completed	-	0	10	10	diagnosticsFullRecord+handlerInstallations	commit_ordered	-	-	blocked	-	0	0	incremental	0.02	84	1	3	1	1	1	3	0	0	0	0	none	0	none	0	15.2%	8.59
