elapsed_s	provider	count	approx_bytes
0.137	ImageAssetRepository.decodedImages	0	0
0.137	RetainedFrameIndex.placedByIdentity	353	4180
0.137	TextLayoutCache.entries	163	-
0.137	AnimationController.activeAnimations	0	-
0.137	TextFigureSupport.metricsCache	2	-
0.137	MeasurementCache.entriesByIdentity	666	-
0.137	ViewGraph.nodesByIdentity	428	-
0.137	MemoryMetricRegistry.providerCount	7	-
0.646	ImageAssetRepository.decodedImages	0	0
0.646	RetainedFrameIndex.placedByIdentity	353	4180
0.646	TextLayoutCache.entries	163	-
0.646	AnimationController.activeAnimations	2	-
0.646	TextFigureSupport.metricsCache	2	-
0.646	MeasurementCache.entriesByIdentity	657	-
0.646	ViewGraph.nodesByIdentity	428	-
0.646	MemoryMetricRegistry.providerCount	7	-
1.148	ImageAssetRepository.decodedImages	0	0
1.148	RetainedFrameIndex.placedByIdentity	353	4180
1.148	TextLayoutCache.entries	163	-
1.148	AnimationController.activeAnimations	2	-
1.148	TextFigureSupport.metricsCache	2	-
1.148	MeasurementCache.entriesByIdentity	665	-
1.148	ViewGraph.nodesByIdentity	428	-
1.148	MemoryMetricRegistry.providerCount	7	-
1.651	ImageAssetRepository.decodedImages	0	0
1.651	RetainedFrameIndex.placedByIdentity	353	4180
1.651	TextLayoutCache.entries	163	-
1.651	AnimationController.activeAnimations	2	-
1.651	TextFigureSupport.metricsCache	2	-
1.651	MeasurementCache.entriesByIdentity	666	-
1.651	ViewGraph.nodesByIdentity	428	-
1.651	MemoryMetricRegistry.providerCount	7	-
2.160	ImageAssetRepository.decodedImages	0	0
2.160	RetainedFrameIndex.placedByIdentity	353	4180
2.160	TextLayoutCache.entries	163	-
2.160	AnimationController.activeAnimations	2	-
2.160	TextFigureSupport.metricsCache	2	-
2.160	MeasurementCache.entriesByIdentity	666	-
2.160	ViewGraph.nodesByIdentity	428	-
2.160	MemoryMetricRegistry.providerCount	7	-
2.680	ImageAssetRepository.decodedImages	0	0
2.680	RetainedFrameIndex.placedByIdentity	353	4180
2.680	TextLayoutCache.entries	163	-
2.680	AnimationController.activeAnimations	2	-
2.680	TextFigureSupport.metricsCache	2	-
2.680	MeasurementCache.entriesByIdentity	666	-
2.680	ViewGraph.nodesByIdentity	428	-
2.680	MemoryMetricRegistry.providerCount	7	-
3.206	ImageAssetRepository.decodedImages	0	0
3.206	RetainedFrameIndex.placedByIdentity	353	4180
3.206	TextLayoutCache.entries	163	-
3.206	AnimationController.activeAnimations	2	-
3.206	TextFigureSupport.metricsCache	2	-
3.206	MeasurementCache.entriesByIdentity	667	-
3.206	ViewGraph.nodesByIdentity	428	-
3.206	MemoryMetricRegistry.providerCount	7	-
