elapsed_s	provider	count	approx_bytes
0.141	MeasurementCache.entriesByIdentity	628	-
0.141	ViewGraph.nodesByIdentity	307	-
0.141	ImageAssetRepository.decodedImages	0	0
0.141	RetainedFrameIndex.placedByIdentity	282	4180
0.141	AnimationController.activeAnimations	0	-
0.141	TextLayoutCache.entries	145	-
0.141	MemoryMetricRegistry.providerCount	6	-
0.669	MeasurementCache.entriesByIdentity	636	-
0.669	ViewGraph.nodesByIdentity	307	-
0.669	ImageAssetRepository.decodedImages	0	0
0.669	RetainedFrameIndex.placedByIdentity	282	4180
0.669	AnimationController.activeAnimations	1	-
0.669	TextLayoutCache.entries	145	-
0.669	MemoryMetricRegistry.providerCount	6	-
1.174	MeasurementCache.entriesByIdentity	636	-
1.174	ViewGraph.nodesByIdentity	307	-
1.174	ImageAssetRepository.decodedImages	0	0
1.174	RetainedFrameIndex.placedByIdentity	282	4180
1.174	AnimationController.activeAnimations	1	-
1.174	TextLayoutCache.entries	145	-
1.174	MemoryMetricRegistry.providerCount	6	-
1.680	MeasurementCache.entriesByIdentity	636	-
1.680	ViewGraph.nodesByIdentity	307	-
1.680	ImageAssetRepository.decodedImages	0	0
1.680	RetainedFrameIndex.placedByIdentity	282	4180
1.680	AnimationController.activeAnimations	1	-
1.680	TextLayoutCache.entries	145	-
1.680	MemoryMetricRegistry.providerCount	6	-
2.188	MeasurementCache.entriesByIdentity	636	-
2.188	ViewGraph.nodesByIdentity	307	-
2.188	ImageAssetRepository.decodedImages	0	0
2.188	RetainedFrameIndex.placedByIdentity	282	4180
2.188	AnimationController.activeAnimations	1	-
2.188	TextLayoutCache.entries	145	-
2.188	MemoryMetricRegistry.providerCount	6	-
2.691	MeasurementCache.entriesByIdentity	636	-
2.691	ViewGraph.nodesByIdentity	307	-
2.691	ImageAssetRepository.decodedImages	0	0
2.691	RetainedFrameIndex.placedByIdentity	282	4180
2.691	AnimationController.activeAnimations	1	-
2.691	TextLayoutCache.entries	145	-
2.691	MemoryMetricRegistry.providerCount	6	-
3.197	MeasurementCache.entriesByIdentity	636	-
3.197	ViewGraph.nodesByIdentity	307	-
3.197	ImageAssetRepository.decodedImages	0	0
3.197	RetainedFrameIndex.placedByIdentity	282	4180
3.197	AnimationController.activeAnimations	1	-
3.197	TextLayoutCache.entries	145	-
3.197	MemoryMetricRegistry.providerCount	6	-
3.700	MeasurementCache.entriesByIdentity	636	-
3.700	ViewGraph.nodesByIdentity	307	-
3.700	ImageAssetRepository.decodedImages	0	0
3.700	RetainedFrameIndex.placedByIdentity	282	4180
3.700	AnimationController.activeAnimations	1	-
3.700	TextLayoutCache.entries	145	-
3.700	MemoryMetricRegistry.providerCount	6	-
4.205	MeasurementCache.entriesByIdentity	636	-
4.205	ViewGraph.nodesByIdentity	307	-
4.205	ImageAssetRepository.decodedImages	0	0
4.205	RetainedFrameIndex.placedByIdentity	282	4180
4.205	AnimationController.activeAnimations	1	-
4.205	TextLayoutCache.entries	145	-
4.205	MemoryMetricRegistry.providerCount	6	-
4.709	MeasurementCache.entriesByIdentity	636	-
4.709	ViewGraph.nodesByIdentity	307	-
4.709	ImageAssetRepository.decodedImages	0	0
4.709	RetainedFrameIndex.placedByIdentity	282	4180
4.709	AnimationController.activeAnimations	1	-
4.709	TextLayoutCache.entries	145	-
4.709	MemoryMetricRegistry.providerCount	6	-
5.218	MeasurementCache.entriesByIdentity	636	-
5.218	ViewGraph.nodesByIdentity	307	-
5.218	ImageAssetRepository.decodedImages	0	0
5.218	RetainedFrameIndex.placedByIdentity	282	4180
5.218	AnimationController.activeAnimations	1	-
5.218	TextLayoutCache.entries	145	-
5.218	MemoryMetricRegistry.providerCount	6	-
5.720	MeasurementCache.entriesByIdentity	636	-
5.720	ViewGraph.nodesByIdentity	307	-
5.720	ImageAssetRepository.decodedImages	0	0
5.720	RetainedFrameIndex.placedByIdentity	282	4180
5.720	AnimationController.activeAnimations	1	-
5.720	TextLayoutCache.entries	145	-
5.720	MemoryMetricRegistry.providerCount	6	-
6.228	MeasurementCache.entriesByIdentity	636	-
6.228	ViewGraph.nodesByIdentity	307	-
6.228	ImageAssetRepository.decodedImages	0	0
6.228	RetainedFrameIndex.placedByIdentity	282	4180
6.228	AnimationController.activeAnimations	1	-
6.228	TextLayoutCache.entries	145	-
6.228	MemoryMetricRegistry.providerCount	6	-
6.733	MeasurementCache.entriesByIdentity	636	-
6.733	ViewGraph.nodesByIdentity	307	-
6.733	ImageAssetRepository.decodedImages	0	0
6.733	RetainedFrameIndex.placedByIdentity	282	4180
6.733	AnimationController.activeAnimations	1	-
6.733	TextLayoutCache.entries	145	-
6.733	MemoryMetricRegistry.providerCount	6	-
7.240	MeasurementCache.entriesByIdentity	636	-
7.240	ViewGraph.nodesByIdentity	307	-
7.240	ImageAssetRepository.decodedImages	0	0
7.240	RetainedFrameIndex.placedByIdentity	282	4180
7.240	AnimationController.activeAnimations	1	-
7.240	TextLayoutCache.entries	145	-
7.240	MemoryMetricRegistry.providerCount	6	-
7.745	MeasurementCache.entriesByIdentity	636	-
7.745	ViewGraph.nodesByIdentity	307	-
7.745	ImageAssetRepository.decodedImages	0	0
7.745	RetainedFrameIndex.placedByIdentity	282	4180
7.745	AnimationController.activeAnimations	1	-
7.745	TextLayoutCache.entries	145	-
7.745	MemoryMetricRegistry.providerCount	6	-
8.249	MeasurementCache.entriesByIdentity	636	-
8.249	ViewGraph.nodesByIdentity	307	-
8.249	ImageAssetRepository.decodedImages	0	0
8.249	RetainedFrameIndex.placedByIdentity	282	4180
8.249	AnimationController.activeAnimations	1	-
8.249	TextLayoutCache.entries	145	-
8.249	MemoryMetricRegistry.providerCount	6	-
