elapsed_s	provider	count	approx_bytes
0.067	ViewGraph.nodesByIdentity	203	-
0.067	TextLayoutCache.entries	104	-
0.067	ImageAssetRepository.decodedImages	0	0
0.067	MeasurementCache.entriesByIdentity	310	-
0.067	AnimationController.activeAnimations	0	-
0.067	RetainedFrameIndex.placedByIdentity	183	4180
0.067	MemoryMetricRegistry.providerCount	6	-
0.577	ViewGraph.nodesByIdentity	203	-
0.577	TextLayoutCache.entries	106	-
0.577	ImageAssetRepository.decodedImages	0	0
0.577	MeasurementCache.entriesByIdentity	310	-
0.577	AnimationController.activeAnimations	0	-
0.577	RetainedFrameIndex.placedByIdentity	183	4180
0.577	MemoryMetricRegistry.providerCount	6	-
1.099	ViewGraph.nodesByIdentity	203	-
1.099	TextLayoutCache.entries	112	-
1.099	ImageAssetRepository.decodedImages	0	0
1.099	MeasurementCache.entriesByIdentity	311	-
1.099	AnimationController.activeAnimations	0	-
1.099	RetainedFrameIndex.placedByIdentity	183	4180
1.099	MemoryMetricRegistry.providerCount	6	-
1.602	ViewGraph.nodesByIdentity	203	-
1.602	TextLayoutCache.entries	112	-
1.602	ImageAssetRepository.decodedImages	0	0
1.602	MeasurementCache.entriesByIdentity	310	-
1.602	AnimationController.activeAnimations	0	-
1.602	RetainedFrameIndex.placedByIdentity	183	4180
1.602	MemoryMetricRegistry.providerCount	6	-
2.113	ViewGraph.nodesByIdentity	203	-
2.113	TextLayoutCache.entries	114	-
2.113	ImageAssetRepository.decodedImages	0	0
2.113	MeasurementCache.entriesByIdentity	311	-
2.113	AnimationController.activeAnimations	0	-
2.113	RetainedFrameIndex.placedByIdentity	183	4180
2.113	MemoryMetricRegistry.providerCount	6	-
2.616	ViewGraph.nodesByIdentity	203	-
2.616	TextLayoutCache.entries	114	-
2.616	ImageAssetRepository.decodedImages	0	0
2.616	MeasurementCache.entriesByIdentity	310	-
2.616	AnimationController.activeAnimations	0	-
2.616	RetainedFrameIndex.placedByIdentity	183	4180
2.616	MemoryMetricRegistry.providerCount	6	-
3.120	ViewGraph.nodesByIdentity	203	-
3.120	TextLayoutCache.entries	114	-
3.120	ImageAssetRepository.decodedImages	0	0
3.120	MeasurementCache.entriesByIdentity	301	-
3.120	AnimationController.activeAnimations	0	-
3.120	RetainedFrameIndex.placedByIdentity	183	4180
3.120	MemoryMetricRegistry.providerCount	6	-
3.622	ViewGraph.nodesByIdentity	203	-
3.622	TextLayoutCache.entries	118	-
3.622	ImageAssetRepository.decodedImages	0	0
3.622	MeasurementCache.entriesByIdentity	310	-
3.622	AnimationController.activeAnimations	0	-
3.622	RetainedFrameIndex.placedByIdentity	183	4180
3.622	MemoryMetricRegistry.providerCount	6	-
4.136	ViewGraph.nodesByIdentity	203	-
4.136	TextLayoutCache.entries	120	-
4.136	ImageAssetRepository.decodedImages	0	0
4.136	MeasurementCache.entriesByIdentity	311	-
4.136	AnimationController.activeAnimations	0	-
4.136	RetainedFrameIndex.placedByIdentity	183	4180
4.136	MemoryMetricRegistry.providerCount	6	-
4.660	ViewGraph.nodesByIdentity	203	-
4.660	TextLayoutCache.entries	120	-
4.660	ImageAssetRepository.decodedImages	0	0
4.660	MeasurementCache.entriesByIdentity	310	-
4.660	AnimationController.activeAnimations	0	-
4.660	RetainedFrameIndex.placedByIdentity	183	4180
4.660	MemoryMetricRegistry.providerCount	6	-
5.164	ViewGraph.nodesByIdentity	203	-
5.164	TextLayoutCache.entries	122	-
5.164	ImageAssetRepository.decodedImages	0	0
5.164	MeasurementCache.entriesByIdentity	310	-
5.164	AnimationController.activeAnimations	0	-
5.164	RetainedFrameIndex.placedByIdentity	183	4180
5.164	MemoryMetricRegistry.providerCount	6	-
5.669	ViewGraph.nodesByIdentity	203	-
5.669	TextLayoutCache.entries	122	-
5.669	ImageAssetRepository.decodedImages	0	0
5.669	MeasurementCache.entriesByIdentity	310	-
5.669	AnimationController.activeAnimations	0	-
5.669	RetainedFrameIndex.placedByIdentity	183	4180
5.669	MemoryMetricRegistry.providerCount	6	-
6.169	ViewGraph.nodesByIdentity	203	-
6.169	TextLayoutCache.entries	128	-
6.169	ImageAssetRepository.decodedImages	0	0
6.169	MeasurementCache.entriesByIdentity	310	-
6.169	AnimationController.activeAnimations	0	-
6.169	RetainedFrameIndex.placedByIdentity	183	4180
6.169	MemoryMetricRegistry.providerCount	6	-
6.682	ViewGraph.nodesByIdentity	203	-
